Ano,Mês,Bairro,Utilização,Tipologia,Total,Valor Recolhido
2013,02,BONSUCESSO,NAO RESIDENCIAL,LOJA,3,41694.72
2013,02,BONSUCESSO,NAO RESIDENCIAL,SALA,1,1349.16
2013,02,BONSUCESSO,NAO RESIDENCIAL,ESPECIAL,1,9000
2013,02,BONSUCESSO,NAO RESIDENCIAL,INDUSTRIA,1,27000
2013,02,BONSUCESSO,NAO RESIDENCIAL,APARTAMENTO,1,3800
2013,02,CAVALCANTI,RESIDENCIAL,CASA,2,7666.88
2013,02,CAVALCANTI,RESIDENCIAL,APARTAMENTO,3,7134.59
2013,02,COPACABANA,RESIDENCIAL,SALA,1,631.14
2013,02,COPACABANA,RESIDENCIAL,APART-HOTEL,2,25681.38
2013,02,COPACABANA,RESIDENCIAL,APARTAMENTO,111,1742477.21
2013,02,COPACABANA,VAGA VINCULADA,APARTAMENTO,1,1400
2013,02,COPACABANA,NAO RESIDENCIAL,LOJA,8,73965.48
2013,02,COPACABANA,NAO RESIDENCIAL,SALA,10,74506.76
2013,02,COPACABANA,NAO RESIDENCIAL,ESPECIAL,4,62423.27
2013,02,MANGUINHOS,RESIDENCIAL,APARTAMENTO,2,11546.21
2013,02,PORTUGUESA,RESIDENCIAL,CASA,1,8200
2013,02,PORTUGUESA,RESIDENCIAL,APARTAMENTO,5,24112.99
2013,02,PRACA SECA,RESIDENCIAL,CASA,5,25299.57
2013,02,PRACA SECA,RESIDENCIAL,APARTAMENTO,34,143261.45
2013,02,PRACA SECA,TERRITORIAL,TERRENO,43,8726.41
2013,02,SANTA CRUZ,RESIDENCIAL,CASA,1,3800
2013,02,SANTA CRUZ,RESIDENCIAL,APARTAMENTO,1,1429.57
2013,02,SANTA CRUZ,TERRITORIAL,TERRENO,3,18997.22
2013,02,SANTA CRUZ,NAO RESIDENCIAL,LOJA,1,20414.22
2013,02,SANTA CRUZ,NAO RESIDENCIAL,ESPECIAL,1,1264.59
2013,02,SANTISSIMO,RESIDENCIAL,CASA,1,729
2013,02,SANTISSIMO,TERRITORIAL,TERRENO,1,660.47
2013,02,CIDADE NOVA,RESIDENCIAL,CASA,1,2400
2013,02,CIDADE NOVA,RESIDENCIAL,APARTAMENTO,3,14774.19
2013,02,COELHO NETO,RESIDENCIAL,APARTAMENTO,2,2603.55
2013,02,JACAREPAGUA,RESIDENCIAL,CASA,12,155849.47
2013,02,JACAREPAGUA,RESIDENCIAL,APARTAMENTO,271,2054286.55
2013,02,JACAREPAGUA,NAO RESIDENCIAL,CASA,1,107.83
2013,02,JACAREPAGUA,NAO RESIDENCIAL,LOJA,10,157340.18
2013,02,JACAREPAGUA,NAO RESIDENCIAL,SALA,139,1040536.65
2013,02,JACAREPAGUA,NAO RESIDENCIAL,ESPECIAL,1,73898.25
2013,02,LARANJEIRAS,RESIDENCIAL,APARTAMENTO,42,827676.13
2013,02,LARANJEIRAS,TERRITORIAL,TERRENO,1,10600
2013,02,SAO CONRADO,RESIDENCIAL,CASA,2,78032.05
2013,02,SAO CONRADO,RESIDENCIAL,APARTAMENTO,6,143973.37
2013,02,SAO CONRADO,TERRITORIAL,TERRENO,2,16800
2013,02,VILA ISABEL,RESIDENCIAL,CASA,4,33893.23
2013,02,VILA ISABEL,RESIDENCIAL,APARTAMENTO,47,377002.22
2013,02,VILA ISABEL,NAO RESIDENCIAL,LOJA,1,3300
2013,02,VILA ISABEL,NAO RESIDENCIAL,SALA,2,5594.41
2013,02,VILA ISABEL,NAO RESIDENCIAL,GALPAO,2,7206.48
2013,02,VILA ISABEL,NAO RESIDENCIAL,COLEGIO/CRECHE,1,934.58
2013,02,VILA KOSMOS,RESIDENCIAL,CASA,3,14065.86
2013,02,VILA KOSMOS,RESIDENCIAL,APARTAMENTO,3,17701.65
2013,02,VILA KOSMOS,RESIDENCIAL,CASA/APTO (PROLETARIO),1,3600
2013,02,BARROS FILHO,RESIDENCIAL,APARTAMENTO,2,5620
2013,02,BRAZ DE PINA,RESIDENCIAL,CASA,5,13088.12
2013,02,BRAZ DE PINA,RESIDENCIAL,APARTAMENTO,20,48608.21
2013,02,BRAZ DE PINA,NAO RESIDENCIAL,LOJA,1,1806.48
2013,02,CAMPO GRANDE,RESIDENCIAL,CASA,46,196855.1
2013,02,CAMPO GRANDE,RESIDENCIAL,APARTAMENTO,68,315227.06
2013,02,CAMPO GRANDE,RESIDENCIAL,CASA/APTO (PROLETARIO),2,10400
2013,02,CAMPO GRANDE,TERRITORIAL,TERRENO,63,138290.54
2013,02,CAMPO GRANDE,NAO RESIDENCIAL,LOJA,1,3802.32
2013,02,CAMPO GRANDE,NAO RESIDENCIAL,SALA,15,59563.75
2013,02,DEL CASTILHO,RESIDENCIAL,CASA,1,3400
2013,02,DEL CASTILHO,RESIDENCIAL,APARTAMENTO,10,49801.31
2013,02,ENGENHO NOVO,RESIDENCIAL,CASA,8,50105.9
2013,02,ENGENHO NOVO,RESIDENCIAL,APARTAMENTO,24,91458.17
2013,02,ENGENHO NOVO,NAO RESIDENCIAL,LOJA,1,878.82
2013,02,ENGENHO NOVO,NAO RESIDENCIAL,SALA,1,10282.7
2013,02,HIGIENOPOLIS,RESIDENCIAL,CASA,6,39022.83
2013,02,HIGIENOPOLIS,RESIDENCIAL,APARTAMENTO,4,14474.28
2013,02,HIGIENOPOLIS,NAO RESIDENCIAL,LOJA,1,3414.04
2013,02,HIGIENOPOLIS,NAO RESIDENCIAL,GALPAO,1,49677.05
2013,02,OSWALDO CRUZ,RESIDENCIAL,CASA,5,4059.5
2013,02,OSWALDO CRUZ,RESIDENCIAL,APARTAMENTO,2,5347.06
2013,02,PADRE MIGUEL,RESIDENCIAL,CASA,2,5866.48
2013,02,PADRE MIGUEL,RESIDENCIAL,APARTAMENTO,4,14024.62
2013,02,PADRE MIGUEL,RESIDENCIAL,CASA/APTO (PROLETARIO),1,1097.18
2013,02,PADRE MIGUEL,TERRITORIAL,TERRENO,4,2929.04
2013,02,PITANGUEIRAS,RESIDENCIAL,APARTAMENTO,2,8468.97
2013,02,PITANGUEIRAS,RESIDENCIAL,CASA/APTO (PROLETARIO),1,943.52
2013,02,RIO COMPRIDO,RESIDENCIAL,CASA,2,18104.25
2013,02,RIO COMPRIDO,RESIDENCIAL,APARTAMENTO,30,188846.21
2013,02,SANTA TERESA,RESIDENCIAL,CASA,3,101558.32
2013,02,SANTA TERESA,RESIDENCIAL,SALA,1,3100
2013,02,SANTA TERESA,RESIDENCIAL,APARTAMENTO,16,105163.55
2013,02,SANTA TERESA,TERRITORIAL,TERRENO,2,22800
2013,02,SANTO CRISTO,RESIDENCIAL,CASA,2,3848.35
2013,02,SANTO CRISTO,NAO RESIDENCIAL,ESPECIAL,1,5137.01
2013,02,SANTO CRISTO,NAO RESIDENCIAL,INDUSTRIA,1,4169.16
2013,02,TOMAS COELHO,RESIDENCIAL,APARTAMENTO,2,5491.77
2013,02,VISTA ALEGRE,RESIDENCIAL,CASA,1,6519.47
2013,02,VISTA ALEGRE,NAO RESIDENCIAL,GALPAO,1,14000
2013,02,BENTO RIBEIRO,RESIDENCIAL,CASA,6,24033.4
2013,02,BENTO RIBEIRO,RESIDENCIAL,APARTAMENTO,9,20362.48
2013,02,BENTO RIBEIRO,RESIDENCIAL,CASA/APTO (PROLETARIO),1,3900
2013,02,BENTO RIBEIRO,NAO RESIDENCIAL,LOJA,3,1291.58
2013,02,BENTO RIBEIRO,NAO RESIDENCIAL,GALPAO,1,404.57
2013,02,GARDENIA AZUL,RESIDENCIAL,CASA,1,10000
2013,02,GARDENIA AZUL,RESIDENCIAL,APARTAMENTO,9,31883.25
2013,02,ROCHA MIRANDA,RESIDENCIAL,CASA,3,9072.45
2013,02,SAO CRISTOVAO,RESIDENCIAL,CASA,1,5881.75
2013,02,SAO CRISTOVAO,RESIDENCIAL,APARTAMENTO,50,269127.09
2013,02,SAO CRISTOVAO,NAO RESIDENCIAL,LOJA,2,31391.43
2013,02,SAO CRISTOVAO,NAO RESIDENCIAL,GALPAO,3,6516.88
2013,02,SAO CRISTOVAO,NAO RESIDENCIAL,INDUSTRIA,2,21835.59
2013,02,VARGEM GRANDE,RESIDENCIAL,CASA,1,6000
